e,r,r
400,-19,-68
401,-8,-57
402,-18,-67
403,-54,-103
404,-67,-18
405,-23,-72
406,-13,-62
407,-24,-73
408,-11,-60
409,-55,-6
410,-5,-54
411,-15,-64
412,-27,-76
413,-37,-86
414,-12,-61
415,-54,-103
416,-92,-43
417,-46,-95
418,-18,-67
419,-60,-11
420,-14,-63
421,-27,-76
422,-60,-11
423,-66,-17
424,-13,-62
425,-55,-6
426,-35,-84
427,-62,-13
428,-15,-64
429,-70,-21
430,-17,-66
431,-19,-68
432,-9,-58
433,-54,-5
434,-6,-55
435,-7,-56
436,-55,-6
437,-16,-65
438,-61,-12
439,-28,-77
440,-58,-9
441,-23,-72
442,-89,-40
443,-11,-60
444,-66,-17
445,-64,-15
446,-79,-30
447,-14,-63
448,-6,-55
449,-18,-67
450,-81,-32
451,-27,-76
452,-65,-16
453,-55,-6
454,-22,-71
455,-7,-56
456,-16,-65
457,-22,-71
458,-111,-62
459,-32,-81
460,-8,-57
461,-60,-11
462,-56,-7
463,-9,-58
464,-57,-8
465,-4,-53
466,-61,-12
467,-61,-12
468,-74,-25
469,-69,-20
470,-127,-78
471,-66,-17
472,-14,-63
473,-8,-57
474,-35,-84
475,-18,-67
476,-13,-62
477,-13,-62
478,-11,-60
479,-25,-74
480,-11,-60
481,-6,-55
482,-59,-10
483,-20,-69
484,-70,-21
485,-7,-56
486,-25,-74
487,-8,-57
488,-22,-71
489,-12,-61
490,-71,-71
491,-11,-60
492,-60,-11
493,-38,-87
494,-83,-34
495,-5,-54
496,-80,-31
497,-24,-73
498,-35,-84
499,-9,-58
500,-80,-31
501,-22,-71
502,-58,-9
503,-62,-13
504,-74,-25
505,-17,-66
506,-33,-82
507,-55,-6
508,-13,-62
509,-84,-35
510,-10,-59
511,-24,-73
512,-68,-19
513,-14,-63
514,-52,-101
515,-9,-58
516,-27,-76
517,-73,-24
518,-63,-14
519,-62,-13
520,-60,-11
521,-87,-136
522,-60,-11
523,-7,-56
524,-41,-90
525,-63,-14
526,-5,-54
527,-23,-72
528,-6,-55
529,-13,-62
530,-68,-19
531,-6,-55
532,-65,-16
533,-5,-54
534,-6,-55
535,-64,-15
536,-56,-7
537,-13,-62
538,-82,-33
539,-62,-13
540,-64,-15
541,-19,-68
542,-25,-74
543,-64,-15
544,-72,-23
545,-63,-14
546,-18,-67
547,-22,-71
548,-22,-71
549,-60,-11
550,-18,-67
551,-80,-129
552,-64,-15
553,-15,-64
554,-55,-6
555,-35,-84
556,-56,-7
557,-19,-68
558,-12,-61
559,-32,-81
560,-93,-44
561,-23,-72
562,-34,-83
563,-11,-60
564,-72,-23
565,-63,-14
566,-77,-28
567,-19,-68
568,-20,-69
569,-60,-11
570,-60,-11
571,-28,-77
572,-8,-57
573,-23,-72
574,-13,-62
575,-34,-83
576,-6,-55
577,-51,-100
578,-48,-97
579,-61,-12
580,-59,-108
581,-24,-73
582,-10,-59
583,-26,-75
584,-62,-111
585,-16,-65
586,-100,-51
587,-28,-77
588,-30,-79
589,-6,-55
590,-57,-8
591,-56,-7
592,-65,-16
593,-14,-63
594,-12,-61
595,-65,-16
596,-37,-86
597,-17,-66
598,-75,-26
599,-106,-57
600,-25,-74
601,-8,-57
602,-20,-69
603,-24,-73
604,-8,-57
605,-6,-55
606,-17,-66
607,-71,-22
608,-54,-5
609,-12,-61
610,-56,-7
611,-75,-26
612,-5,-54
613,-71,-22
614,-12,-61
615,-33,-82
616,-16,-65
617,-15,-64
618,-55,-6
619,-100,-51
620,-21,-70
621,-66,-17
622,-66,-17
623,-71,-22
624,-55,-6
625,-15,-64
626,-21,-70
627,-65,-16
628,-68,-19
629,-105,-56
630,-63,-14
631,-18,-67
632,-73,-24
633,-39,-88
634,-33,-82
635,-76,-27
636,-64,-15
637,-86,-37
638,-62,-13
639,-32,-81
640,-20,-69
641,-7,-56
642,-5,-54
643,-69,-20
644,-18,-67
645,-8,-57
646,-11,-60
647,-58,-9
648,-35,-84
649,-24,-73
650,-15,-64
651,-24,-73
652,-55,-6
653,-59,-10
654,-13,-62
655,-105,-56
656,-37,-86
657,-61,-12
658,-10,-59
659,-8,-57
660,-29,-78
661,-98,-49
662,-11,-60
663,-56,-7
664,-102,-102
665,-66,-17
666,-62,-13
667,-25,-74
668,-79,-30
669,-23,-72
670,-77,-28
671,-26,-75
672,-29,-78
673,-68,-19
674,-13,-62
675,-38,-87
676,-9,-58
677,-70,-119
678,-20,-69
679,-7,-56
680,-7,-56
681,-11,-60
682,-89,-40
683,-72,-23
684,-8,-57
685,-60,-11
686,-58,-9
687,-22,-71
688,-70,-21
689,-15,-64
690,-29,-78
691,-81,-32
692,-60,-11
693,-64,-113
694,-64,-15
695,-18,-67
696,-17,-66
697,-13,-62
698,-13,-62
699,-18,-67
700,-16,-65
701,-66,-17
702,-23,-72
703,-61,-12
704,-106,-57
705,-63,-112
706,-15,-64
707,-70,-21
708,-10,-59
709,-93,-44
710,-32,-81
711,-83,-34
712,-25,-74
713,-92,-43
714,-31,-80
715,-7,-56
716,-5,-54
717,-11,-60
718,-53,-4
719,-27,-76
720,-58,-107
721,-20,-69
722,-123,-74
723,-38,-87
724,-23,-72
725,-31,-80
726,-10,-59
727,-22,-71
728,-59,-10
729,-69,-69
730,-70,-21
731,-24,-73
732,-19,-68
733,-13,-62
734,-5,-54
735,-81,-32
736,-89,-40
737,-5,-54
738,-76,-27
739,-79,-128
740,-63,-14
741,-57,-8
742,-12,-61
743,-69,-20
744,-14,-63
745,-8,-57
746,-7,-56
747,-59,-10
748,-60,-11
749,-5,-54
750,-12,-61
751,-60,-11
752,-67,-18
753,-4,-53
754,-17,-66
755,-8,-57
756,-70,-21
757,-15,-64
758,-13,-62
759,-74,-25
760,-33,-82
761,-95,-46
762,-24,-73
763,-60,-11
764,-29,-78
765,-76,-27
766,-73,-24
767,-12,-61
768,-73,-24
769,-8,-57
770,-13,-62
771,-93,-44
772,-51,-100
773,-70,-21
774,-29,-78
775,-13,-62
776,-24,-73
777,-12,-61
778,-72,-23
779,-9,-58
780,-24,-73
781,-12,-61
782,-67,-18
783,-12,-61
784,-62,-13
785,-93,-44
786,-82,-33
787,-12,-61
788,-66,-17
789,-73,-24
790,-61,-12
791,-14,-63
792,-78,-29
793,-12,-61
794,-11,-60
795,-7,-56
796,-4,-53
