e,r,r
10563,-6,-55
10564,-81,-130
10565,-15,-64
10566,-6,-55
10567,-54,-103
10568,-110,-61
10569,-13,-62
10570,-8,-57
10571,-22,-71
10572,-23,-72
10573,-28,-77
10574,-82,-131
10575,-11,-60
10576,-63,-14
10577,-31,-80
10578,-65,-16
10579,-70,-21
10580,-59,-108
10581,-74,-25
10582,-15,-64
10583,-17,-66
10584,-105,-56
10585,-55,-6
10586,-6,-55
10587,-11,-60
10588,-59,-10
10589,-64,-15
10590,-10,-59
10591,-33,-82
10592,-19,-68
10593,-35,-84
10594,-85,-36
10595,-28,-77
10596,-68,-19
10597,-11,-60
10598,-10,-59
10599,-8,-57
10600,-16,-65
10601,-56,-7
10602,-30,-79
10603,-73,-24
10604,-69,-20
10605,-12,-61
10606,-111,-62
10607,-12,-61
10608,-67,-18
10609,-11,-60
10610,-58,-9
10611,-79,-30
10612,-17,-66
10613,-71,-22
10614,-85,-36
10615,-6,-55
10616,-44,-93
10617,-6,-55
10618,-24,-73
10619,-77,-28
10620,-68,-19
10621,-8,-57
10622,-66,-17
10623,-69,-20
10624,-9,-58
10625,-7,-56
10626,-39,-88
10627,-16,-65
10628,-63,-14
10629,-85,-36
10630,-66,-17
10631,-29,-78
10632,-7,-56
10633,-9,-58
10634,-83,-34
10635,-65,-16
10636,-47,-96
10637,-68,-19
10638,-10,-59
10639,-56,-7
10640,-24,-73
10641,-14,-63
10642,-57,-8
10643,-8,-57
10644,-32,-81
10645,-26,-75
10646,-4,-53
10647,-61,-12
10648,-91,-42
10649,-14,-63
10650,-78,-78
10651,-20,-69
10652,-80,-31
10653,-23,-72
10654,-19,-68
10655,-45,-94
10656,-15,-64
10657,-19,-68
10658,-14,-63
10659,-10,-59
10660,-15,-64
10661,-76,-27
10662,-18,-67
10663,-235,-87
10664,-53,-102
10665,-68,-19
10666,-81,-32
10667,-5,-54
10668,-55,-6
10669,-72,-23
10670,-9,-58
10671,-12,-61
10672,-38,-87
10673,-58,-9
10674,-74,-25
10675,-56,-105
10676,-20,-69
10677,-66,-17
10678,-61,-12
10679,-56,-7
10680,-29,-78
10681,-34,-83
10682,-22,-71
10683,-27,-76
10684,-72,-23
10685,-80,-31
10686,-8,-57
10687,-24,-73
10688,-68,-19
10689,-83,-34
10690,-86,-37
10691,-34,-83
10692,-65,-16
10693,-32,-81
10694,-20,-69
10695,-40,-89
10696,-59,-10
10697,-43,-92
10698,-111,-62
10699,-68,-19
10700,-17,-66
10701,-16,-65
10702,-61,-12
10703,-24,-73
10704,-4,-53
10705,-4,-53
10706,-54,-5
10707,-22,-71
10708,-20,-69
10709,-45,-94
10710,-4,-53
10711,-66,-17
10712,-5,-54
10713,-61,-12
10714,-81,-32
10715,-33,-82
10716,-7,-56
10717,-81,-32
10718,-29,-78
10719,-59,-10
10720,-119,-9
10721,-30,-79
10722,-15,-64
10723,-24,-73
10724,-8,-57
10725,-89,-40
10726,-145,-96
10727,-30,-79
10728,-62,-13
10729,-20,-69
10730,-77,-77
10731,-58,-9
10732,-61,-12
10733,-13,-62
10734,-57,-8
10735,-56,-105
10736,-21,-70
10737,-69,-20
10738,-40,-89
10739,-44,-93
10740,-83,-83
10741,-75,-26
10742,-8,-57
10743,-32,-81
10744,-96,-47
10745,-18,-67
10746,-72,-23
10747,-41,-90
10748,-43,-92
10749,-5,-54
10750,-10,-59
10751,-64,-15
10752,-65,-16
10753,-103,-54
10754,-87,-87
10755,-50,-99
10756,-45,-94
10757,-110,-61
10758,-72,-23
10759,-14,-63
10760,-102,-151
10761,-10,-59
10762,-43,-92
10763,-14,-63
10764,-74,-74
10765,-7,-56
10766,-18,-67
10767,-14,-63
10768,-83,-34
10769,-59,-10
10770,-60,-11
10771,-14,-63
10772,-90,-41
10773,-27,-76
10774,-57,-8
10775,-61,-12
10776,-86,-37
10777,-65,-16
10778,-22,-71
10779,-78,-29
10780,-35,-84
10781,-14,-63
10782,-17,-66
10783,-21,-70
10784,-26,-75
10785,-66,-17
10786,-16,-65
10787,-18,-67
10788,-40,-89
10789,-87,-38
10790,-67,-18
10791,-60,-11
10792,-69,-20
10793,-33,-82
10794,-88,-39
10795,-21,-70
10796,-66,-17
10797,-10,-59
10798,-62,-13
10799,-7,-56
10800,-81,-32
10801,-63,-14
10802,-62,-13
10803,-54,-5
10804,-6,-55
10805,-38,-87
10806,-8,-57
10807,-62,-13
10808,-7,-56
10809,-7,-56
10810,-67,-18
10811,-10,-59
10812,-6,-55
10813,-27,-76
10814,-42,-91
10815,-26,-75
10816,-95,-46
10817,-5,-54
10818,-7,-56
10819,-61,-12
10820,-63,-14
10821,-66,-17
10822,-58,-9
10823,-90,-41
10824,-8,-57
10825,-12,-61
10826,-65,-16
10827,-83,-34
10828,-57,-8
10829,-89,-40
10830,-80,-31
10831,-67,-18
10832,-7,-56
10833,-57,-8
10834,-76,-27
10835,-4,-53
10836,-67,-18
10837,-12,-61
10838,-72,-23
10839,-23,-72
10840,-70,-21
10841,-93,-44
10842,-74,-25
10843,-76,-27
10844,-30,-79
10845,-70,-21
10846,-5,-54
10847,-73,-24
10848,-35,-84
10849,-15,-64
10850,-70,-21
10851,-11,-60
10852,-10,-59
10853,-15,-64
10854,-23,-72
10855,-18,-67
10856,-6,-55
10857,-69,-20
10858,-17,-66
10859,-57,-8
10860,-54,-5
10861,-58,-9
10862,-69,-20
10863,-20,-69
10864,-58,-9
10865,-31,-80
10866,-24,-73
10867,-42,-91
10868,-28,-77
10869,-21,-70
10870,-46,-95
10871,-81,-32
10872,-56,-7
10873,-80,-31
10874,-88,-39
10875,-68,-19
10876,-112,-63
10877,-8,-57
10878,-56,-7
10879,-28,-77
10880,-7,-56
10881,-5,-54
10882,-17,-66
10883,-67,-18
10884,-73,-24
10885,-61,-12
10886,-73,-24
10887,-85,-85
10888,-26,-75
10889,-56,-7
10890,-17,-66
10891,-99,-50
10892,-18,-67
10893,-83,-34
10894,-36,-85
10895,-104,-55
10896,-62,-13
10897,-61,-12
10898,-56,-7
10899,-68,-19
10900,-117,-68
10901,-63,-14
10902,-10,-59
10903,-15,-64
10904,-9,-58
10905,-93,-44
10906,-21,-70
10907,-66,-17
10908,-61,-12
10909,-8,-57
10910,-62,-13
10911,-62,-13
10912,-69,-20
10913,-103,-54
10914,-69,-69
10915,-13,-62
10916,-16,-65
10917,-64,-15
10918,-5,-54
10919,-16,-65
10920,-15,-64
10921,-44,-93
10922,-76,-125
10923,-6,-55
10924,-55,-6
10925,-85,-36
10926,-83,-83
10927,-69,-118
10928,-18,-67
10929,-11,-60
10930,-12,-61
10931,-4,-53
10932,-65,-16
10933,-18,-67
10934,-64,-15
10935,-12,-61
10936,-57,-8
10937,-18,-67
10938,-4,-53
10939,-88,-39
10940,-60,-11
10941,-12,-61
10942,-60,-11
10943,-119,-70
10944,-25,-74
10945,-66,-17
10946,-5,-54
10947,-90,-90
10948,-20,-69
10949,-37,-86
10950,-86,-37
10951,-12,-61
10952,-63,-63
10953,-38,-87
10954,-7,-56
10955,-4,-53
10956,-95,-46
10957,-21,-70
10958,-90,-41
10959,-15,-64
10960,-57,-8
10961,-59,-10
10962,-85,-36
10963,-13,-62
10964,-4,-53
10965,-10,-59
10966,-6,-55
10967,-46,-95
10968,-20,-69
10969,-21,-70
10970,-60,-60
10971,-80,-31
10972,-66,-17
10973,-27,-76
10974,-63,-14
10975,-69,-20
10976,-35,-84
10977,-10,-59
10978,-37,-86
10979,-14,-63
10980,-112,-63
10981,-32,-81
10982,-79,-30
10983,-140,-91
10984,-70,-21
10985,-4,-53
10986,-65,-16
10987,-56,-7
10988,-28,-77
10989,-71,-22
10990,-15,-64
10991,-84,-35
10992,-63,-63
10993,-56,-7
10994,-12,-61
10995,-101,-52
10996,-66,-17
10997,-154,-105
10998,-104,-55
10999,-31,-80
11000,-60,-11
11001,-57,-8
11002,-6,-55
11003,-88,-39
11004,-72,-23
11005,-66,-17
11006,-10,-59
11007,-57,-8
11008,-56,-7
11009,-89,-40
11010,-13,-62
11011,-43,-92
11012,-47,-96
11013,-6,-55
11014,-33,-82
11015,-31,-80
11016,-12,-61
11017,-89,-40
11018,-31,-80
11019,-67,-18
11020,-19,-68
11021,-34,-83
11022,-63,-63
11023,-4,-53
11024,-57,-8
11025,-17,-66
11026,-95,-46
11027,-68,-68
11028,-16,-65
11029,-125,-76
11030,-72,-23
11031,-38,-87
11032,-25,-74
11033,-53,-102
11034,-21,-70
11035,-58,-9
11036,-66,-17
11037,-55,-6
11038,-85,-36
11039,-45,-94
11040,-61,-12
11041,-61,-61
11042,-31,-80
11043,-6,-55
11044,-31,-80
11045,-30,-79
11046,-9,-58
11047,-45,-94
11048,-12,-61
11049,-17,-66
11050,-61,-12
11051,-5,-54
11052,-20,-69
11053,-11,-60
11054,-45,-94
11055,-66,-17
11056,-27,-76
11057,-63,-14
11058,-54,-5
11059,-57,-8
11060,-67,-18
11061,-69,-20
11062,-9,-58
11063,-66,-17
11064,-57,-8
11065,-8,-57
11066,-98,-49
11067,-54,-103
11068,-19,-68
11069,-55,-104
11070,-64,-15
11071,-11,-60
11072,-83,-34
11073,-96,-47
11074,-72,-23
11075,-70,-21
11076,-76,-125
11077,-53,-4
11078,-68,-19
11079,-49,-98
11080,-72,-23
11081,-70,-21
11082,-88,-39
11083,-6,-55
11084,-7,-56
11085,-90,-41
11086,-14,-63
11087,-85,-36
11088,-17,-66
11089,-64,-15
11090,-6,-55
11091,-7,-56
11092,-32,-81
11093,-28,-77
11094,-67,-18
11095,-9,-58
11096,-76,-27
11097,-6,-55
11098,-17,-66
11099,-23,-72
11100,-8,-57
11101,-43,-92
11102,-63,-14
11103,-65,-16
11104,-6,-55
11105,-34,-83
11106,-58,-9
11107,-17,-66
11108,-76,-27
11109,-12,-61
11110,-13,-62
11111,-68,-19
11112,-47,-96
11113,-66,-17
11114,-82,-33
11115,-34,-83
11116,-82,-33
11117,-8,-57
11118,-62,-13
11119,-36,-85
11120,-42,-91
11121,-5,-54
11122,-7,-56
11123,-107,-58
11124,-9,-58
11125,-9,-58
11126,-83,-34
11127,-12,-61
11128,-12,-61
11129,-12,-61
11130,-74,-25
11131,-30,-79
11132,-62,-13
11133,-11,-60
11134,-89,-40
11135,-59,-10
11136,-34,-83
11137,-24,-73
11138,-24,-73
11139,-90,-41
11140,-19,-68
11141,-63,-14
11142,-14,-63
11143,-61,-12
11144,-48,-97
11145,-33,-82
11146,-9,-58
11147,-67,-18
11148,-81,-32
11149,-17,-66
11150,-17,-66
11151,-8,-57
11152,-29,-78
11153,-23,-72
11154,-4,-53
11155,-16,-65
11156,-18,-67
11157,-77,-28
11158,-73,-24
11159,-69,-20
11160,-16,-65
11161,-23,-72
11162,-23,-72
11163,-13,-62
11164,-16,-65
11165,-9,-58
11166,-77,-28
11167,-23,-72
11168,-81,-32
11169,-69,-20
11170,-47,-96
11171,-14,-63
11172,-21,-70
11173,-15,-64
11174,-15,-64
11175,-16,-65
11176,-164,7
11177,-16,-65
11178,-83,-34
11179,-24,-73
11180,-45,-94
11181,-9,-58
11182,-55,-6
11183,-62,-111
11184,-69,-20
11185,-77,-28
11186,-133,-84
11187,-64,-15
11188,-15,-64
11189,-22,-71
11190,-51,-100
11191,-67,-116
11192,-87,-38
11193,-19,-68
11194,-129,-80
11195,-42,-91
11196,-7,-56
11197,-22,-71
11198,-66,-17
11199,-5,-54
11200,-92,-43
11201,-23,-72
11202,-29,-78
11203,-65,-16
11204,-76,-27
11205,-17,-66
11206,-67,-18
11207,-11,-60
11208,-70,-21
11209,-30,-79
11210,-101,-52
11211,-25,-74
11212,-82,-33
11213,-20,-69
11214,-53,-102
11215,-5,-54
11216,-21,-70
11217,-6,-55
11218,-70,-21
11219,-4,-53
11220,-23,-72
11221,-72,-23
11222,-43,-92
11223,-70,-21
11224,-27,-76
11225,-66,-17
11226,-19,-68
11227,-65,-16
11228,-20,-69
11229,-109,-60
11230,-29,-78
11231,-62,-13
11232,-67,-18
11233,-59,-10
11234,-68,-19
11235,-99,-50
11236,-73,-24
11237,-33,-82
11238,-16,-65
11239,-62,-13
11240,-12,-61
11241,-130,-81
11242,-34,-83
11243,-21,-70
11244,-96,-47
11245,-75,-124
11246,-19,-68
11247,-14,-63
11248,-28,-77
11249,-73,-24
11250,-17,-66
11251,-22,-71
11252,-28,-77
11253,-72,-23
11254,-70,-21
11255,-8,-57
11256,-116,-67
11257,-15,-64
11258,-67,-18
11259,-63,-14
11260,-54,-103
11261,-79,-30
11262,-5,-54
11263,-5,-54
11264,-13,-62
11265,-129,-178
11266,-72,-23
11267,-80,-31
11268,-64,-15
11269,-91,-42
11270,-80,-31
11271,-117,-68
11272,-60,-109
11273,-59,-10
11274,-15,-64
11275,-75,-75
11276,-4,-53
11277,-35,-84
11278,-24,-73
11279,-67,-18
11280,-30,-79
11281,-62,-13
11282,-94,-45
11283,-18,-67
11284,-47,-96
11285,-108,-108
11286,-72,-23
11287,-78,-29
11288,-4,-53
11289,-5,-54
11290,-82,-33
11291,-17,-66
11292,-9,-58
11293,-55,-6
11294,-7,-56
11295,-24,-73
11296,-73,-122
11297,-85,-36
11298,-58,-9
11299,-18,-67
11300,-23,-72
11301,-84,-35
11302,-6,-55
11303,-18,-67
11304,-75,-26
11305,-7,-56
11306,-33,-82
11307,-68,-19
11308,-80,-31
11309,-21,-70
11310,-41,-90
11311,-8,-57
11312,-130,-81
11313,-9,-58
11314,-4,-53
11315,-16,-65
11316,-8,-57
11317,-25,-74
11318,-60,-11
11319,-15,-64
11320,-77,-126
11321,-16,-65
11322,-40,-89
11323,-15,-64
11324,-57,-8
11325,-25,-74
11326,-93,-44
11327,-57,-8
11328,-75,-26
11329,-64,-15
11330,-64,-15
11331,-20,-69
11332,-28,-77
11333,-57,-106
11334,-69,-20
11335,-20,-69
11336,-60,-11
11337,-54,-5
11338,-99,-50
11339,-70,-70
11340,-13,-62
11341,-71,-22
11342,-72,-23
11343,-39,-88
11344,-13,-62
11345,-10,-59
11346,-7,-56
11347,-23,-72
11348,-6,-55
11349,-12,-61
11350,-11,-60
11351,-125,-76
11352,-62,-13
11353,-71,-22
11354,-40,-89
11355,-79,-30
11356,-35,-84
11357,-38,-87
11358,-24,-73
11359,-67,-18
11360,-7,-56
11361,-58,-9
11362,-18,-67
11363,-26,-75
11364,-10,-59
11365,-58,-9
11366,-29,-78
11367,-35,-84
11368,-162,-39
11369,-80,-31
11370,-20,-69
11371,-59,-10
11372,-33,-82
11373,-14,-63
11374,-80,-31
11375,-22,-71
11376,-43,-92
11377,-74,-123
11378,-11,-60
11379,-4,-53
11380,-63,-14
11381,-9,-58
11382,-60,-11
11383,-12,-61
11384,-90,-41
11385,-66,-17
11386,-4,-53
11387,-29,-78
11388,-85,-134
11389,-19,-68
11390,-104,-55
11391,-7,-56
11392,-5,-54
11393,-36,-85
11394,-11,-60
11395,-36,-85
11396,-25,-74
11397,-29,-78
11398,-63,-14
11399,-12,-61
11400,-154,-105
11401,-23,-72
11402,-88,-88
11403,-97,-48
11404,-60,-109
11405,-20,-69
11406,-11,-60
11407,-13,-62
11408,-86,-37
11409,-33,-82
11410,-48,-97
11411,-19,-68
11412,-61,-12
11413,-67,-116
11414,-11,-60
11415,-16,-65
11416,-17,-66
11417,-45,-94
11418,-53,-102
11419,-49,-98
11420,-11,-60
11421,-64,-15
11422,-29,-78
11423,-66,-17
11424,-63,-14
11425,-59,-10
11426,-44,-93
11427,-15,-64
11428,-21,-70
11429,-71,-22
11430,-16,-65
11431,-20,-69
11432,-27,-76
11433,-67,-18
11434,-58,-58
11435,-73,-24
11436,-7,-56
11437,-34,-83
11438,-61,-12
11439,-74,-25
11440,-66,-115
11441,-53,-4
11442,-54,-5
11443,-73,-24
11444,-14,-63
11445,-95,-46
11446,-11,-60
11447,-88,-39
11448,-8,-57
11449,-75,-26
11450,-20,-69
11451,-72,-23
11452,-62,-13
11453,-81,-32
11454,-65,-114
11455,-84,-133
11456,-16,-65
11457,-39,-88
11458,-72,-121
11459,-8,-57
11460,-19,-68
11461,-74,-25
11462,-56,-105
11463,-61,-110
11464,-22,-71
11465,-8,-57
11466,-26,-75
11467,-60,-11
11468,-66,-17
11469,-46,-95
11470,-60,-109
11471,-7,-56
11472,-64,-15
11473,-54,-103
11474,-76,-27
11475,-7,-56
11476,-80,-31
11477,-26,-75
11478,-51,-100
11479,-17,-66
11480,-17,-66
11481,-16,-65
11482,-16,-65
11483,-25,-74
11484,-54,-103
11485,-12,-61
11486,-72,-23
11487,-74,-74
11488,-58,-9
11489,-72,-23
11490,-53,-4
11491,-70,-21
11492,-4,-53
11493,-46,-95
11494,-7,-56
11495,-11,-60
11496,-78,-29
11497,-61,-12
11498,-92,-141
11499,-181,-17
11500,-99,-50
11501,-53,-4
11502,-84,-35
11503,-11,-60
11504,-83,-34
11505,-70,-21
11506,-5,-54
11507,-64,-15
11508,-40,-89
11509,-124,-75
11510,-80,-31
11511,-15,-64
11512,-46,-95
11513,-13,-62
11514,-14,-63
11515,-9,-58
11516,-116,-67
11517,-45,-94
11518,-91,-42
11519,-90,-41
11520,-16,-65
11521,-71,-22
11522,-81,-32
11523,-20,-69
11524,-54,-5
11525,-24,-73
11526,-81,-32
11527,-89,-40
11528,-11,-60
11529,-86,-37
11530,-102,-53
11531,-14,-63
11532,-59,-10
11533,-29,-78
11534,-68,-19
11535,-48,-97
11536,-15,-64
11537,-68,-19
11538,-10,-59
11539,-25,-74
11540,-22,-71
11541,-54,-5
11542,-29,-78
11543,-71,-22
11544,-65,-114
11545,-80,-31
11546,-36,-85
11547,-94,-45
11548,-19,-68
11549,-86,-37
11550,-20,-69
11551,-58,-9
11552,-26,-75
11553,-5,-54
11554,-78,-29
11555,-27,-76
11556,-53,-4
11557,-109,-60
11558,-29,-78
11559,-76,-27
11560,-16,-65
11561,-59,-10
11562,-65,-114
11563,-65,-16
11564,-4,-53
11565,-21,-70
11566,-19,-68
11567,-90,-41
11568,-72,-121
11569,-67,-18
11570,-21,-70
11571,-79,-128
11572,-132,-83
11573,-72,-23
11574,-70,-21
11575,-48,-97
11576,-14,-63
11577,-71,-22
11578,-9,-58
11579,-91,-91
11580,-55,-6
11581,-63,-14
11582,-86,-37
11583,-30,-79
11584,-12,-61
11585,-23,-72
11586,-79,-30
11587,-29,-78
11588,-7,-56
11589,-6,-55
11590,-78,-29
11591,-76,-27
11592,-93,-44
11593,-5,-54
11594,-60,-11
11595,-89,-40
11596,-19,-68
11597,-11,-60
11598,-33,-82
11599,-62,-13
11600,-26,-75
11601,-20,-69
11602,-21,-70
11603,-84,-35
11604,-26,-75
11605,-20,-69
11606,-65,-16
11607,-99,-148
11608,-55,-6
11609,-91,-42
11610,-4,-53
11611,-65,-16
11612,-17,-66
11613,-64,-15
11614,-37,-86
11615,-71,-22
11616,-72,-23
11617,-10,-59
11618,-57,-106
11619,-28,-77
11620,-74,-25
11621,-64,-15
11622,-61,-12
11623,-86,-37
11624,-37,-86
11625,-59,-10
11626,-67,-116
11627,-89,-40
11628,-82,-33
11629,-24,-73
11630,-13,-62
11631,-55,-6
11632,-80,-80
11633,-9,-58
11634,-58,-9
11635,-144,-95
11636,-67,-18
11637,-9,-58
11638,-35,-84
11639,-15,-64
11640,-4,-53
11641,-4,-53
11642,-38,-87
11643,-104,-55
11644,-6,-55
11645,-62,-62
11646,-4,-53
11647,-34,-83
11648,-38,-87
11649,-22,-71
11650,-67,-18
11651,-71,-22
11652,-66,-17
11653,-110,-61
11654,-14,-63
11655,-90,-41
11656,-75,-26
11657,-64,-64
11658,-69,-20
11659,-17,-66
11660,-33,-82
11661,-15,-64
11662,-11,-60
11663,-79,-79
11664,-66,-17
11665,-85,-36
11666,-55,-104
11667,-20,-69
11668,-70,-21
11669,-64,-15
11670,-10,-59
11671,-117,-68
11672,-14,-63
11673,-28,-77
11674,-71,-22
11675,-70,-21
11676,-17,-66
11677,-64,-15
11678,-16,-65
11679,-6,-55
11680,-29,-78
11681,-28,-77
11682,-64,-113
11683,-38,-87
11684,-45,-94
11685,-16,-65
11686,-72,-121
11687,-7,-56
11688,-12,-61
11689,-68,-19
11690,-23,-72
11691,-22,-71
11692,-8,-57
11693,-53,-4
11694,-60,-11
11695,-38,-87
11696,-34,-83
11697,-5,-54
11698,-8,-57
11699,-19,-68
11700,-124,-124
11701,-26,-75
11702,-63,-14
11703,-38,-87
11704,-62,-62
11705,-35,-84
11706,-55,-6
11707,-27,-76
11708,-82,-131
11709,-75,-124
11710,-59,-10
11711,-56,-7
11712,-64,-15
11713,-18,-67
11714,-26,-75
11715,-82,-131
11716,-18,-67
11717,-85,-36
11718,-40,-89
11719,-19,-68
11720,-30,-79
11721,-7,-56
11722,-71,-22
11723,-67,-18
11724,-21,-70
11725,-19,-68
11726,-71,-22
11727,-4,-53
11728,-116,-67
11729,-22,-71
11730,-27,-76
11731,-97,-48
11732,-81,-81
11733,-5,-54
11734,-13,-62
11735,-45,-94
11736,-11,-60
11737,-78,-29
11738,-43,-92
11739,-18,-67
11740,-19,-68
11741,-60,-11
11742,-24,-73
11743,-9,-58
11744,-69,-20
11745,-75,-26
11746,-60,-11
11747,-65,-16
11748,-12,-61
11749,-61,-110
11750,-31,-80
11751,-9,-58
11752,-64,-15
11753,-57,-8
11754,-64,-15
11755,-81,-32
11756,-24,-73
11757,-57,-8
11758,-75,-26
11759,-13,-62
11760,-100,-51
11761,-58,-58
11762,-21,-70
11763,-75,-26
11764,-47,-96
11765,-41,-90
11766,-63,-14
11767,-16,-65
11768,-75,-124
11769,-27,-76
11770,-61,-12
11771,-123,-74
11772,-63,-14
11773,-7,-56
11774,-67,-18
11775,-60,-60
11776,-12,-61
11777,-11,-60
11778,-60,-11
11779,-7,-56
11780,-22,-71
11781,-61,-12
11782,-51,-100
11783,-13,-62
11784,-28,-77
11785,-17,-66
11786,-65,-16
11787,-25,-74
11788,-29,-78
11789,-15,-64
11790,-88,-39
11791,-39,-88
11792,-87,-136
11793,-15,-64
11794,-18,-67
11795,-13,-62
11796,-14,-63
11797,-26,-75
11798,-18,-67
11799,-69,-20
11800,-8,-57
11801,-6,-55
11802,-133,-84
11803,-94,-45
11804,-70,-21
11805,-21,-70
11806,-61,-12
11807,-8,-57
11808,-11,-60
11809,-64,-113
11810,-12,-61
11811,-69,-20
11812,-30,-79
11813,-12,-61
11814,-7,-56
11815,-58,-9
11816,-9,-58
11817,-32,-81
11818,-80,-31
11819,-63,-14
11820,-86,-37
11821,-23,-72
11822,-12,-61
11823,-8,-57
11824,-40,-89
11825,-12,-61
11826,-27,-76
11827,-8,-57
11828,-77,-28
11829,-90,-41
11830,-88,-39
11831,-75,-26
11832,-77,-126
11833,-6,-55
11834,-22,-71
11835,-62,-13
11836,-56,-7
11837,-18,-67
11838,-11,-60
11839,-22,-71
11840,-24,-73
11841,-32,-81
11842,-7,-56
11843,-70,-21
11844,-67,-18
11845,-91,-42
11846,-60,-109
11847,-95,-46
11848,-4,-53
11849,-5,-54
11850,-19,-68
11851,-57,-8
11852,-99,-50
11853,-74,-123
11854,-6,-55
11855,-59,-10
11856,-101,-52
11857,-101,-52
11858,-6,-55
11859,-92,-43
11860,-75,-26
11861,-7,-56
11862,-22,-71
11863,-77,-126
11864,-4,-53
11865,-11,-60
11866,-60,-11
11867,-41,-90
11868,-32,-81
11869,-7,-56
11870,-4,-53
11871,-55,-6
11872,-23,-72
11873,-25,-74
11874,-82,-33
11875,-16,-65
11876,-16,-65
11877,-19,-68
11878,-36,-85
11879,-24,-73
11880,-58,-9
11881,-111,-62
11882,-9,-58
11883,-76,-27
11884,-47,-96
11885,-64,-15
11886,-98,-49
11887,-121,-72
11888,-15,-64
11889,-89,-40
11890,-30,-79
11891,-12,-61
11892,-25,-74
11893,-62,-13
11894,-15,-64
11895,-27,-76
11896,-17,-66
11897,-62,-13
11898,-56,-7
11899,-67,-18
11900,-61,-12
11901,-34,-83
11902,-6,-55
11903,-22,-71
11904,-55,-6
11905,-7,-56
11906,-4,-53
11907,-11,-60
11908,-64,-15
11909,-76,-27
11910,-10,-59
11911,-17,-66
11912,-111,-62
11913,-4,-53
11914,-7,-56
11915,-119,-70
11916,-13,-62
11917,-111,-62
11918,-37,-86
11919,-53,-4
11920,-20,-69
11921,-29,-78
11922,-75,-75
11923,-73,-24
11924,-11,-60
11925,-57,-8
11926,-9,-58
11927,-87,-38
11928,-51,-100
11929,-5,-54
11930,-9,-58
11931,-21,-70
11932,-4,-53
11933,-10,-59
11934,-62,-13
11935,-24,-73
11936,-64,-15
11937,-80,-31
11938,-28,-77
11939,-13,-62
11940,-54,-5
11941,-72,-23
11942,-12,-61
11943,-36,-85
11944,-87,-87
11945,-22,-71
11946,-11,-60
11947,-70,-21
11948,-78,-29
11949,-72,-23
11950,-57,-8
11951,-67,-18
11952,-53,-102
11953,-4,-53
11954,-70,-21
11955,-18,-67
11956,-125,-76
11957,-76,-27
11958,-26,-75
11959,-79,-128
11960,-22,-71
11961,-13,-62
11962,-64,-15
11963,-17,-66
11964,-87,-38
11965,-39,-88
11966,-59,-10
11967,-26,-75
11968,-71,-120
11969,-30,-79
11970,-95,-46
11971,-98,-49
11972,-77,-28
11973,-7,-56
11974,-14,-63
11975,-68,-19
11976,-67,-18
11977,-32,-81
11978,-104,-55
11979,-71,-22
11980,-12,-61
11981,-20,-69
11982,-5,-54
11983,-28,-77
11984,-60,-11
11985,-15,-64
11986,-88,-39
11987,-19,-68
11988,-13,-62
11989,-18,-67
11990,-30,-79
11991,-58,-9
11992,-27,-76
11993,-35,-84
11994,-76,-27
11995,-94,-45
11996,-54,-5
11997,-62,-13
11998,-23,-72
11999,-68,-19
12000,-10,-59
12001,-8,-57
12002,-39,-88
12003,-25,-74
12004,-12,-61
12005,-47,-96
12006,-4,-53
12007,-71,-22
12008,-71,-22
12009,-6,-55
12010,-14,-63
12011,-22,-71
12012,-18,-67
12013,-40,-89
12014,-100,-51
12015,-68,-19
12016,-57,-8
12017,-5,-54
12018,-8,-57
12019,-104,-55
12020,-9,-58
12021,-11,-60
12022,-59,-10
12023,-72,-23
12024,-98,-49
12025,-95,-46
12026,-55,-6
12027,-86,-37
12028,-7,-56
12029,-13,-62
12030,-45,-94
12031,-31,-80
12032,-74,-25
12033,-84,-35
12034,-30,-79
12035,-7,-56
12036,-68,-19
12037,-36,-85
12038,-57,-8
12039,-54,-5
12040,-9,-58
12041,-67,-18
12042,-84,-35
12043,-36,-85
12044,-37,-86
12045,-57,-8
12046,-74,-25
12047,-59,-10
12048,-6,-55
12049,-58,-107
12050,-73,-24
12051,-66,-17
12052,-83,-34
12053,-51,-100
12054,-56,-7
12055,-48,-97
12056,-130,-81
12057,-9,-58
12058,-91,-42
12059,-63,-14
12060,-7,-56
12061,-10,-59
12062,-71,-22
12063,-56,-7
12064,-54,-5
12065,-73,-24
12066,-69,-20
12067,-9,-58
12068,-88,-39
12069,-85,-134
12070,-13,-62
12071,-53,-4
12072,-68,-19
12073,-69,-20
12074,-46,-95
12075,-110,-159
12076,-43,-92
12077,-66,-17
12078,-11,-60
12079,-6,-55
12080,-74,-25
12081,-17,-66
12082,-73,-24
12083,-32,-81
12084,-17,-66
12085,-42,-91
12086,-86,-37
12087,-58,-58
12088,-12,-61
12089,-27,-76
12090,-66,-17
12091,-117,-68
12092,-59,-59
12093,-89,-89
12094,-20,-69
12095,-82,-33
12096,-48,-97
12097,-177,-128
12098,-24,-73
12099,-77,-28
12100,-29,-78
12101,-15,-64
12102,-60,-11
12103,-94,-45
12104,-15,-64
12105,-9,-58
12106,-50,-99
12107,-15,-64
12108,-32,-81
12109,-58,-9
12110,-54,-103
12111,-21,-70
12112,-60,-11
12113,-36,-85
12114,-75,-26
12115,-5,-54
12116,-65,-16
12117,-26,-75
